P18YM_PB,PSINDER,VPH_NDACMM,VPH_SINCINT
95.0,15.0,20.0,4.0
67.0,28.0,21.0,4.0
2305.0,867.0,716.0,219.0
102.0,39.0,45.0,9.0
129.0,40.0,44.0,6.0
33.0,6.0,6.0,0.0
67.0,53.0,16.0,5.0
83.0,16.0,15.0,0.0
102.0,28.0,28.0,9.0
146.0,61.0,39.0,11.0
110.0,20.0,28.0,7.0
74.0,16.0,17.0,5.0
42.0,7.0,16.0,3.0
58.0,58.0,22.0,11.0
61.0,23.0,12.0,5.0
17.0,9.0,4.0,3.0
36.0,20.0,10.0,4.0
89.0,20.0,26.0,6.0
116.0,41.0,39.0,17.0
182.0,93.0,63.0,21.0
143.0,68.0,55.0,24.0
119.0,33.0,41.0,11.0
40.0,18.0,12.0,4.0
43.0,25.0,17.0,4.0
112.0,30.0,32.0,17.0
125.0,34.0,38.0,12.0
179.0,82.0,53.0,20.0
2142.0,896.0,621.0,230.0
69.0,29.0,28.0,16.0
149.0,53.0,33.0,15.0
149.0,62.0,54.0,20.0
44.0,35.0,22.0,10.0
29.0,16.0,8.0,6.0
155.0,83.0,65.0,22.0
106.0,52.0,38.0,16.0
105.0,66.0,24.0,7.0
169.0,69.0,52.0,21.0
79.0,28.0,25.0,3.0
144.0,71.0,44.0,11.0
129.0,44.0,36.0,10.0
130.0,33.0,35.0,8.0
153.0,78.0,52.0,21.0
43.0,10.0,9.0,3.0
95.0,39.0,28.0,9.0
151.0,54.0,22.0,15.0
141.0,40.0,31.0,14.0
2259.0,1023.0,804.0,318.0
180.0,84.0,63.0,17.0
124.0,51.0,42.0,12.0
107.0,46.0,25.0,18.0
117.0,49.0,52.0,28.0
83.0,32.0,22.0,9.0
62.0,16.0,21.0,7.0
65.0,16.0,13.0,6.0
144.0,83.0,77.0,31.0
111.0,66.0,28.0,13.0
146.0,57.0,43.0,12.0
117.0,57.0,51.0,16.0
65.0,37.0,19.0,7.0
50.0,24.0,23.0,10.0
105.0,28.0,29.0,13.0
128.0,70.0,48.0,18.0
123.0,71.0,71.0,23.0
112.0,44.0,32.0,15.0
35.0,13.0,14.0,7.0
66.0,39.0,34.0,17.0
126.0,74.0,31.0,12.0
138.0,43.0,40.0,21.0
37.0,17.0,23.0,6.0
18.0,6.0,3.0,0.0
2142.0,914.0,673.0,255.0
39.0,29.0,17.0,7.0
45.0,13.0,9.0,4.0
112.0,41.0,32.0,12.0
36.0,36.0,11.0,6.0
0.0,0.0,0.0,0.0
123.0,73.0,54.0,23.0
